question,contexts,ground_truth,evolution_type,metadata,episode_done
"How does the reviewer's view of 'John Wick' change over time, and what causes their disinterest?","[': 3\nReview: These John Wick movies can be sort of fun in the sense that they are unintelligent violent nonsense pretending to be movies. There is something entertaining about dumb nonsense sometimes, and the first two of this franchise was decently okay in this regard. The last one and this one however not so much, only dumb.', ': 3\nReview: Well, I committed to watching the first three ""John Wick"" movies consecutively, and in case I totally worship them - like apparently the rest of the world does - I would hurry myself to the theater and watch the fourth installment on the big screen. After the first one already, I knew this wasn\'t going to be my thing. Not that ""John Wick"" is a bad film, it\'s just a very monotonous \'shoot-em-all-up\' actioner that rapidly makes you go like ""yeah, whatever"".']",The reviewer's view of 'John Wick' changes from finding the first two movies decently okay in their entertaining dumb nonsense to finding the last two movies just dumb. The cause of their disinterest is the monotonous 'shoot-em-all-up' action that rapidly becomes uninteresting.,multi_context,"[{'source': 'john_wick_4.csv', 'row': 3, 'Review_Date': '23 May 2023', 'Review_Title': ' I was rolling my eyes the whole time... all 3 hours...\n', 'Review_Url': '/review/rw9072963/?ref_=tt_urv', 'Author': 'namob-43673', 'Rating': 3, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776360)}, {'source': 'john_wick_2.csv', 'row': 3, 'Review_Date': '5 May 2023', 'Review_Title': ' Stab, kick, shoot, repeat. Stab, kick, shoot, repeat. Stab, kick shoot, repeat.\n', 'Review_Url': '/review/rw9034779/?ref_=tt_urv', 'Author': 'Coventry', 'Rating': 5, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775644)}]",True
What makes John Wick's world-building and action so intense?,"["": 10\nReview: The first John Wick film took me by surprise; it was a cartoonish action film that was surprisingly brutal in its content, cruel in its delivery, and had a real punch to it. All of it existed inside a world that convinced in its own logic, even if it was clearly fantasy. John Wick 2 doesn't have the ability to sneak up on me unannounced, which does work against it, but this is not what hurts it the most."", ': 22\nReview: John Wick is one of my favourite recent years action movie and the second one pick up right where the first one left. The action is sharp, well filmed, no bad shaky cams and jump cuts like a certain bad action movie i saw recently. Its so refreshing to see everything and admire the practical stunt work.']","The first John Wick film was a cartoonish action film that was surprisingly brutal in its content, cruel in its delivery, and had a real punch to it. All of it existed inside a world that convinced in its own logic, even if it was clearly fantasy.",multi_context,"[{'source': 'john_wick_2.csv', 'row': 10, 'Review_Date': '1 July 2017', 'Review_Title': "" Slick, but I was detached in a way I wasn't in the first film\n"", 'Review_Url': '/review/rw3743472/?ref_=tt_urv', 'Author': 'bob the moo', 'Rating': 0, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775651)}, {'source': 'john_wick_2.csv', 'row': 22, 'Review_Date': '12 February 2017', 'Review_Title': ' This is how you film an action movie !\n', 'Review_Url': '/review/rw3638970/?ref_=tt_urv', 'Author': 'destroyerwod', 'Rating': 9, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775662)}]",True
How do Keanu Reeves' role and the film's choreography boost John Wick's acclaim?,"["": 9\nReview: At first glance, John Wick sounds like a terrible film on paper but with the slickness of Keanu Reeves' performance as the titular character and the sheer brilliance in its action sequences, this marks the best action film of the year and one of the absolute best in the past decade. Following a brutal home invasion that leaves his beloved dog murdered by thugs from his past, John Wick vows revenge on the ones who have taken what he loves most. Like I said, on paper, this seems like a direct-to-DVD slopfest starring John Cena but as a film with Keanu Reeves as the lead, it marks the very welcomed return for Reeves to the genre. John Wick is insanely fun, violently brutal and an overall romp especially for those disappointed by The Expendables 3. John Wick is propelled by Tarantino-esque dialog mixed with the swagger of action stars from the 70s. Reeves literally emulates cool in this film and does it with such confidence, that we don't even doubt the character...even when he kills countless bad guys with extreme force in some utterly ridiculous and implausible situations. We don't doubt it for a minute. This is EXACTLY what you want out of an action film. It is briskly paced, brilliantly shot and meticulously choreographed and keeps you wanting more and more. The supporting cast filled with the likes of John Legiuzamo, Ian McShane, and Willen Dafoe also keeps this film very interesting. These guys don't play good guys, hell, John Wick by traditional standards would be a bad guy in any other film. Every character is more ruthless than the next and pushes John Wick to be more ruthless than they are, creating a very cool dynamic between the character and the plot regarding the idea of how far is too far? However, don't expect some revelation from John Wick regarding the morality of bad and evil. This film wants you entertained and does so with brute force, it never lets up, not even for a second. One scene in particular that will have your blood pumping is a showdown between thugs and Wick in a nightclub. This action sequence remains the best in the film and will have you grasping your theater seat because of the sheer intensity of it. Overall, John Wick is slick, violent fun that turns into a remarkable, surprising film that will catch you off guard. It is THAT good. I highly recommend this film to action buffs especially but I'm sure those who just like a good movie will love it as well."", "": 7\nReview: John Wick (2014) is the best revenge flick from Keanu Reeves of 2014 from The Matrix (1999) to John Wick (2014) another action fast paced, Entertaining slick action packed film, which kind I have never seen before. It is a very fun, straightforward action movie with an 80's sensibility. It's nice to see Keanu doing these types of roles again. It is one of my personal favorite Keanu Reeves movies. Keanu Reeves is a bad ass what a great action packed blood packed film. Movies should really learn from this on how to make a decent action film, especially with the crap we are getting today like escape plan bullet to the head and such. This film to me is the greatest action film to come out in this century. Keanu was phenomenal the action was so fast paced and exciting my jaw literally dropped as Keanu took out all the bad guys! I personally think this film is better then all Taken films combined. It was simply brilliant, it was made for 20 million dollars and I am glad it made 40 million in the US. I think this film deserved to make 100 million!""]","Keanu Reeves' role as John Wick and the film's choreography significantly boost the film's acclaim. Reeves' performance is described as slick and confident, making the character believable even in extreme and implausible situations. The film is praised for being briskly paced, brilliantly shot, and meticulously choreographed, keeping viewers engaged and wanting more. The action sequences, particularly a showdown in a nightclub, are highlighted as intense and the best in the film.",multi_context,"[{'source': 'john_wick_1.csv', 'row': 9, 'Review_Date': '20 October 2014', 'Review_Title': "" The coolest action film you'll see all year\n"", 'Review_Url': '/review/rw3107759/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 9, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775327)}, {'source': 'john_wick_1.csv', 'row': 7, 'Review_Date': '19 November 2015', 'Review_Title': ' The best action revenge film of all time from 2014 so far!\n', 'Review_Url': '/review/rw3357633/?ref_=tt_urv', 'Author': 'ivo-cobra8', 'Rating': 10, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775324)}]",True
What drives John Wick to face a crime lord despite wanting peace?,"["": 5\nReview: Iosef's uncle still has John Wick's car. Wick comes after it and the uncle accepts his offer of peace. He hopes to return to his peaceful retirement but crime lord Santino D'Antonio calls in his Marker. He faces deadly assassins, numerous killers, and countless thugs as Santino uses him to gain power even offering a $7 million contract."", "": 20\nReview: After resolving his issues with the Russian mafia, John Wick (Keanu Reeves) returns home. But soon the mobster Santino D'Antonio (Riccardo Scamarcio) visits him to show Wick's marker and tells that he needs to help. John Wicks refuses since he is retired and Santino blows-up his house. John Wick meets the owner of the Continental hotel in New York City, Winston (Ian McShane), and he tells that Wick cannot violate the Mafia rules and shall honor the marker. Santino asks John Wick to kill his sister Gianna D'Antonio (Claudia Gerini) in Rome so that he can sit on the High Table of the criminal organizations. When John Wicks accomplishes his assignment, Santino puts a seven-million dollar contract on him attracting professional killers from everywhere. But Wick promises to kill Santino that is not protected by his marker anymore.""]","John Wick is driven to face the crime lord Santino D'Antonio because Santino calls in his Marker, which John Wick is obligated to honor according to the Mafia rules, despite his desire for a peaceful retirement.",multi_context,"[{'source': 'john_wick_2.csv', 'row': 5, 'Review_Date': '7 October 2017', 'Review_Title': ' more Gun Fu\n', 'Review_Url': '/review/rw3825224/?ref_=tt_urv', 'Author': 'SnoopyStyle', 'Rating': 6, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775646)}, {'source': 'john_wick_2.csv', 'row': 20, 'Review_Date': '28 May 2017', 'Review_Title': ' A New Franchise is Born\n', 'Review_Url': '/review/rw3718180/?ref_=tt_urv', 'Author': 'claudio_carvalho', 'Rating': 8, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775660)}]",True
"How did Keanu Reeves' action skills elevate John Wick, esp. by the 4th film?","["": 17\nReview: Stuntman turned writer/director Chad Stahelski struck gold with his 2014 surprise hit John Wick. It was somewhat of a comeback for the legendary Keanu Reeves and reinvigorated the action genre. Since then it's become THE action juggernaut franchise. Now we are on number 4 and while usually things get redone with that amount of sequels, this film innovates and thrills to new heights in an absolute epic."", "": 18\nReview: Ever since the original John Wick, the franchise has set a standard of what action in Hollywood should be. Thanks to Chad Stahelski and Keanu Reeve's knowledge of the technical aspects of shooting action, they've been able to deliver expertly choreographed, shot, and edited action films that are now the go to as examples of great action filmmaking. And so, the expectations for the fourth film were fairly high, especially as it became more apparent this was not only the culmination of everything before it, but a whopping 169 minutes long. Rest assured, however, that it delivers in spades. Everything we have come to know and love is here, but with an infusion of creativity like we haven't seen from the franchise yet.""]","Keanu Reeves' knowledge of the technical aspects of shooting action has helped deliver expertly choreographed, shot, and edited action films. By the fourth film, this expertise has contributed to the franchise's ability to innovate and thrill to new heights.",multi_context,"[{'source': 'john_wick_4.csv', 'row': 17, 'Review_Date': '16 March 2023', 'Review_Title': ' While the Wick franchise has already solidified itself one of the best in the action genre, this massive film is the most spectacular entry of the genre in 30 years.\n', 'Review_Url': '/review/rw8932278/?ref_=tt_urv', 'Author': 'tresm87', 'Rating': 9, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776373)}, {'source': 'john_wick_4.csv', 'row': 18, 'Review_Date': '17 March 2023', 'Review_Title': ' Not Just The Best John Wick, But Possibly One Of The Best Action Movies Ever\n', 'Review_Url': '/review/rw8935367/?ref_=tt_urv', 'Author': 'cadillac20', 'Rating': 10, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776374)}]",True
How do revenge plot and Keanu Reeves boost John Wick over usual action films?,"["": 0\nReview: The best way I can describe John Wick is to picture Taken but instead of Liam Neeson it's Keanu Reeves and instead of his daughter it's his dog. That's essentially the plot of the movie. John Wick (Reeves) is out to seek revenge on the people who took something he loved from him. It's a beautifully simple premise for an action movie - when action movies get convoluted, they get bad i.e. A Good Day to Die Hard. John Wick gives the viewers what they want: Awesome action, stylish stunts, kinetic chaos, and a relatable hero to tie it all together. John Wick succeeds in its simplicity."", "": 9\nReview: At first glance, John Wick sounds like a terrible film on paper but with the slickness of Keanu Reeves' performance as the titular character and the sheer brilliance in its action sequences, this marks the best action film of the year and one of the absolute best in the past decade. Following a brutal home invasion that leaves his beloved dog murdered by thugs from his past, John Wick vows revenge on the ones who have taken what he loves most. Like I said, on paper, this seems like a direct-to-DVD slopfest starring John Cena but as a film with Keanu Reeves as the lead, it marks the very welcomed return for Reeves to the genre. John Wick is insanely fun, violently brutal and an overall romp especially for those disappointed by The Expendables 3. John Wick is propelled by Tarantino-esque dialog mixed with the swagger of action stars from the 70s. Reeves literally emulates cool in this film and does it with such confidence, that we don't even doubt the character...even when he kills countless bad guys with extreme force in some utterly ridiculous and implausible situations. We don't doubt it for a minute. This is EXACTLY what you want out of an action film. It is briskly paced, brilliantly shot and meticulously choreographed and keeps you wanting more and more. The supporting cast filled with the likes of John Legiuzamo, Ian McShane, and Willen Dafoe also keeps this film very interesting. These guys don't play good guys, hell, John Wick by traditional standards would be a bad guy in any other film. Every character is more ruthless than the next and pushes John Wick to be more ruthless than they are, creating a very cool dynamic between the character and the plot regarding the idea of how far is too far? However, don't expect some revelation from John Wick regarding the morality of bad and evil. This film wants you entertained and does so with brute force, it never lets up, not even for a second. One scene in particular that will have your blood pumping is a showdown between thugs and Wick in a nightclub. This action sequence remains the best in the film and will have you grasping your theater seat because of the sheer intensity of it. Overall, John Wick is slick, violent fun that turns into a remarkable, surprising film that will catch you off guard. It is THAT good. I highly recommend this film to action buffs especially but I'm sure those who just like a good movie will love it as well.""]","The revenge plot in John Wick, where the protagonist seeks vengeance for the murder of his beloved dog, provides a simple yet compelling premise that resonates with viewers. Keanu Reeves' performance as John Wick, marked by his slickness and confidence, elevates the film. His portrayal, combined with brilliantly choreographed action sequences and a dynamic supporting cast, makes John Wick stand out as an exceptional action film.",multi_context,"[{'source': 'john_wick_1.csv', 'row': 0, 'Review_Date': '6 May 2015', 'Review_Title': ' Kinetic, concise, and stylish; John Wick kicks ass.\n', 'Review_Url': '/review/rw3233896/?ref_=tt_urv', 'Author': 'lnvicta', 'Rating': 8, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775305)}, {'source': 'john_wick_1.csv', 'row': 9, 'Review_Date': '20 October 2014', 'Review_Title': "" The coolest action film you'll see all year\n"", 'Review_Url': '/review/rw3107759/?ref_=tt_urv', 'Author': 'trublu215', 'Rating': 9, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775327)}]",True
"What factors lead to criticism of American action film narratives, and how do some franchises elevate the genre?","["": 10\nReview: Most American action flicks released these days have poor screenplays and overuse computer-generated imagery. The John Wick franchise is one of the few exceptions, along with Mission Impossible. These franchises keep getting better with every entry. Hollywood can make action masterpieces, but Marvel has greater demand, so that's what we get most of. It's a shame."", "": 17\nReview: Stuntman turned writer/director Chad Stahelski struck gold with his 2014 surprise hit John Wick. It was somewhat of a comeback for the legendary Keanu Reeves and reinvigorated the action genre. Since then it's become THE action juggernaut franchise. Now we are on number 4 and while usually things get redone with that amount of sequels, this film innovates and thrills to new heights in an absolute epic.""]","American action films are often criticized for poor screenplays and overuse of computer-generated imagery. However, franchises like John Wick and Mission Impossible elevate the genre by improving with each entry and innovating, as seen with John Wick's reinvigoration of the action genre and its continued success.",multi_context,"[{'source': 'john_wick_4.csv', 'row': 10, 'Review_Date': '22 March 2023', 'Review_Title': ' How Can Anyone Choose to Watch Marvel Over This?\n', 'Review_Url': '/review/rw8944843/?ref_=tt_urv', 'Author': 'lovemichaeljordan', 'Rating': 8, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776367)}, {'source': 'john_wick_4.csv', 'row': 17, 'Review_Date': '16 March 2023', 'Review_Title': ' While the Wick franchise has already solidified itself one of the best in the action genre, this massive film is the most spectacular entry of the genre in 30 years.\n', 'Review_Url': '/review/rw8932278/?ref_=tt_urv', 'Author': 'tresm87', 'Rating': 9, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776373)}]",True
How do game-like foes shape the artful violence in John Wick 2?,"["": 12\nReview: If there's an equivalent of classical orchestra for untamed unapologetically brutal carnage, there's no doubt it'd be John Wick. Dancing through hail of bullets, horde of assassins straight from video game, oozing noir style from each drop of blood, John Wick: Chapter 2 is nothing short of an artistic spectacle.""]","Game-like foes contribute to the artful violence in John Wick 2 by creating a scenario where the protagonist dances through a hail of bullets and faces a horde of assassins, which adds to the film's noir style and brutal carnage.",multi_context,"[{'source': 'john_wick_2.csv', 'row': 12, 'Review_Date': '8 February 2017', 'Review_Title': ' Love letter for action genre written by bold bloody hallmark, and a pencil.\n', 'Review_Url': '/review/rw3635439/?ref_=tt_urv', 'Author': 'quincytheodore', 'Rating': 9, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775653)}]",True
How do horses and cinema add to 'John Wick 3' visuals?,"["": 8\nReview: About 6 months ago I saw a picture of the set of 'John Wick: Chapter 3 - Parabellum' featuring Keanu Reeves on horseback shooting at motorcyclists. It was such a great looking shot that I have been waiting eagerly to see how it looked in the actual film ever since. It did not let me down. The style this film possesses is insane. It is one of the best looking action films I have ever seen.""]","The context mentions a scene from 'John Wick: Chapter 3 - Parabellum' featuring Keanu Reeves on horseback shooting at motorcyclists, which was described as a great looking shot and contributed to the film's impressive visual style.",multi_context,"[{'source': 'john_wick_3.csv', 'row': 8, 'Review_Date': '15 May 2019', 'Review_Title': ' A brutal non-stop ride\n', 'Review_Url': '/review/rw4854687/?ref_=tt_urv', 'Author': 'jtindahouse', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 10, 1, 20, 16, 21, 775938)}]",True
What's the reviewer's take on the entertainment value and appeal of the John Wick series after the first three films?,"[': 3\nReview: These John Wick movies can be sort of fun in the sense that they are unintelligent violent nonsense pretending to be movies. There is something entertaining about dumb nonsense sometimes, and the first two of this franchise was decently okay in this regard. The last one and this one however not so much, only dumb.', ': 3\nReview: Well, I committed to watching the first three ""John Wick"" movies consecutively, and in case I totally worship them - like apparently the rest of the world does - I would hurry myself to the theater and watch the fourth installment on the big screen. After the first one already, I knew this wasn\'t going to be my thing. Not that ""John Wick"" is a bad film, it\'s just a very monotonous \'shoot-em-all-up\' actioner that rapidly makes you go like ""yeah, whatever"".']","The reviewer finds the John Wick movies to be unintelligent violent nonsense that can be entertaining at times. They found the first two movies decently okay in this regard, but felt that the last one and the third one were only dumb. Overall, the reviewer did not find the series to be their thing and described it as a monotonous 'shoot-em-all-up' actioner.",multi_context,"[{'source': 'john_wick_4.csv', 'row': 3, 'Review_Date': '23 May 2023', 'Review_Title': ' I was rolling my eyes the whole time... all 3 hours...\n', 'Review_Url': '/review/rw9072963/?ref_=tt_urv', 'Author': 'namob-43673', 'Rating': 3, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776360)}, {'source': 'john_wick_2.csv', 'row': 3, 'Review_Date': '5 May 2023', 'Review_Title': ' Stab, kick, shoot, repeat. Stab, kick, shoot, repeat. Stab, kick shoot, repeat.\n', 'Review_Url': '/review/rw9034779/?ref_=tt_urv', 'Author': 'Coventry', 'Rating': 5, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 30, 20, 16, 21, 775644)}]",True
How does 'John Wick' keep a 7.4 IMDb rating despite sequels often being disliked?,"["": 20\nReview: In a world where movie sequels seem to be loathed even before they are released, the 'John Wick' series has remained remarkably consistent and well received. In fact all three of the first films have the same IMDb rating of 7.4/10 and I noticed recently that I gave them all the same rating of 8/10. Incredibly, I think 'John Wick: Chapter 4' is the best the series has to offer. This movie was a wild ride.""]","The 'John Wick' series has remained remarkably consistent and well received, with all three of the first films having the same IMDb rating of 7.4/10.",reasoning,"[{'source': 'john_wick_4.csv', 'row': 20, 'Review_Date': '23 March 2023', 'Review_Title': ' THIS is how you justify a 3 hour runtime\n', 'Review_Url': '/review/rw8946038/?ref_=tt_urv', 'Author': 'jtindahouse', 'Rating': 9, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776376)}]",True
How do the first two John Wick films mix action with fun?,"[': 3\nReview: These John Wick movies can be sort of fun in the sense that they are unintelligent violent nonsense pretending to be movies. There is something entertaining about dumb nonsense sometimes, and the first two of this franchise was decently okay in this regard. The last one and this one however not so much, only dumb.']",The first two John Wick movies are described as unintelligent violent nonsense that can be sort of fun and decently okay in their entertaining dumb nonsense.,reasoning,"[{'source': 'john_wick_4.csv', 'row': 3, 'Review_Date': '23 May 2023', 'Review_Title': ' I was rolling my eyes the whole time... all 3 hours...\n', 'Review_Url': '/review/rw9072963/?ref_=tt_urv', 'Author': 'namob-43673', 'Rating': 3, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776360)}]",True
Which film's fight scenes and cinematography are praised?,"[': 19\nReview: I really don\'t understand the love that ""John Wick"" receives. It\'s just kind of a generic action thriller to me. No different than a ""Bourne"" or ""Taken"" movie. It gets a slight bump for me in a rating of 6 instead of 5 because I did think that the cinematography was really good and also the fight choreography was top notch. I can definitely see the influence of martial arts films on this.']",The film 'John Wick' is praised for its fight scenes and cinematography.,reasoning,"[{'source': 'john_wick_1.csv', 'row': 19, 'Review_Date': '14 April 2023', 'Review_Title': "" I Don't Get It\n"", 'Review_Url': '/review/rw8991670/?ref_=tt_urv', 'Author': 'xiaoli7377', 'Rating': 6, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 29, 20, 16, 21, 775336)}]",True
"Which franchise, like John Wick, shines in script and limits CGI?","["": 10\nReview: Most American action flicks released these days have poor screenplays and overuse computer-generated imagery. The John Wick franchise is one of the few exceptions, along with Mission Impossible. These franchises keep getting better with every entry. Hollywood can make action masterpieces, but Marvel has greater demand, so that's what we get most of. It's a shame.""]",Mission Impossible,reasoning,"[{'source': 'john_wick_4.csv', 'row': 10, 'Review_Date': '22 March 2023', 'Review_Title': ' How Can Anyone Choose to Watch Marvel Over This?\n', 'Review_Url': '/review/rw8944843/?ref_=tt_urv', 'Author': 'lovemichaeljordan', 'Rating': 8, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 10, 2, 20, 16, 21, 776367)}]",True
